domains,text
https://google.com,"DE
Anmelden
Bevor Sie zu Google weitergehen
Wir verwenden Cookies und Daten, um
Google-Dienste zu erbringen und zu betreiben
Ausfälle zu prüfen und Maßnahmen gegen Spam, Betrug und Missbrauch zu ergreifen
Daten zu Zielgruppeninteraktionen und Websitestatistiken zu erheben. Mit den gewonnenen Informationen möchten wir verstehen, wie unsere Dienste verwendet werden, und die Qualität dieser Dienste verbessern.
Wenn Sie „Alle akzeptieren“ auswählen, verwenden wir Cookies und Daten auch, um
neue Dienste zu entwickeln und zu verbessern
Werbung auszuliefern und ihre Wirkung zu messen
je nach Ihren Einstellungen personalisierte Inhalte anzuzeigen
personalisierte Werbung anzuzeigen, abhängig von Ihren Einstellungen
Wenn Sie „Alle ablehnen“ auswählen, verwenden wir Cookies nicht für diese zusätzlichen Zwecke.
Nicht personalisierte Inhalte werden u. a. von Inhalten, die Sie sich gerade ansehen, Aktivitäten in Ihrer aktiven Suchsitzung und Ihrem Standort beeinflusst. Nicht personalisierte Werbung wird von den Inhalten, die Sie sich gerade ansehen, und Ihrem allgemeinen Standort beeinflusst. Personalisierte Inhalte und Werbung können auch relevantere Ergebnisse, Empfehlungen und individuelle Werbung enthalten, die auf früheren Aktivitäten in diesem Browser, etwa Suchanfragen bei Google, beruhen. Sofern relevant, verwenden wir Cookies und Daten außerdem, um Inhalte und Werbung altersgerecht zu gestalten.
Wählen Sie „Weitere Optionen“ aus, um sich zusätzliche Informationen anzusehen, einschließlich Details zum Verwalten Ihrer Datenschutzeinstellungen. Sie können auch jederzeit g.co/privacytools besuchen.
Alle ablehnen
Alle akzeptieren
Weitere Optionen
Datenschutz
·
Nutzungsbedingungen"
https://microsoft.com,"Wir verwenden optionale Cookies, um Ihre Erfahrung auf unseren Websites zu verbessern, z. B. durch Verbindungen zu sozialen Medien, und um personalisierte Werbung auf der Grundlage Ihrer Online-Aktivitäten anzuzeigen. Wenn Sie optionale Cookies ablehnen, werden nur die Cookies verwendet, die zur Bereitstellung der Dienste erforderlich sind. Sie können Ihre Auswahl ändern, indem Sie am Ende der Seite auf „Cookies verwalten“ klicken. Datenschutzerklärung Cookies von Drittanbietern
Annehmen Ablehnen Cookies verwalten"
https://mail.ru,"Consent to Cookies & Data processing
On this website we use cookies and similar functions to process end device information and personal data (e.g. such as IP-addresses or browser information). The processing is used for purposes such as to integrate content, external services and elements from third parties, statistical analysis/measurement, personalized advertising and the integration of social media. Depending on the function, data is passed on to up to 675 third parties and processed by them. This consent is voluntary, not required for the use of our website and can be revoked at any time using the icon on the bottom left.
Store and/or access information on a device
Use limited data to select advertising
Create profiles for personalised advertising
Use profiles to select personalised advertising
Create profiles to personalise content
Use profiles to select personalised content
Measure advertising performance
Measure content performance
Understand audiences through statistics or combinations of data from different sources
Develop and improve services
Use precise geolocation data
Actively scan device characteristics for identification
Settings Accept all
Privacy notice"
https://facebook.com,"Allow the use of cookies from Facebook on this browser?
We use cookies and similar technologies to help provide and improve content on Meta Products. We also use them to provide a safer experience by using information we receive from cookies on and off Facebook, and to provide and improve Meta Products for people who have an account.
Essential cookies: These cookies are required to use Meta Products and are necessary for our sites to work as intended.
Cookies from other companies: We use these cookies to show you ads off of Meta Products and to provide features like maps and videos on Meta Products. These cookies are optional.
You have control over the optional cookies we use. Learn more about cookies and how we use them, and review or change your choices at any time in our Cookies Policy.
About cookies
What are cookies?
Learn more
Why do we use cookies?
Learn more
What are Meta Products?
Learn more
Your cookie choices
Learn more
Cookies from other companies
We use cookies from other companies in order to show you ads off of our Products, and provide features like maps, payment services and video.
Choose cookies by category
How we use these cookies
If you allow these cookies
If you don't allow these cookies
Other ways you can control your information
Manage your ad experience in Accounts Center
More information about online advertising
Controlling cookies with browser settings
Decline optional cookies
Allow all cookies"
https://cloudflare.com,"Our site uses cookies
Like most websites, we use cookies to make our site work the way you expect it to, improve your experience on our site, analyze site usage, and assist in our marketing efforts. By choosing ""Accept All Cookies"", you agree to the storing of all categories of cookies on your device. If you wish to accept or reject some categories of cookies, please click “Cookie Preferences.”
Cookie Preferences Reject All Accept All Cookies"
https://youtube.com,"Before you continue to YouTube
We use cookies and data to
Deliver and maintain Google services
Track outages and protect against spam, fraud, and abuse
Measure audience engagement and site statistics to understand how our services are used and enhance the quality of those services
If you choose to “Accept all,” we will also use cookies and data to
Develop and improve new services
Deliver and measure the effectiveness of ads
Show personalized content, depending on your settings
Show personalized ads, depending on your settings
If you choose to “Reject all,” we will not use cookies for these additional purposes.
Non-personalized content and ads are influenced by things like the content you’re currently viewing and your location (ad serving is based on general location). Personalized content and ads can also include things like video recommendations, a customized YouTube homepage, and tailored ads based on past activity, like the videos you watch and the things you search for on YouTube. We also use cookies and data to tailor the experience to be age-appropriate, if relevant.
Select “More options” to see additional information, including details about managing your privacy settings. You can also visit g.co/privacytools at any time.
Reject all
Accept all
More options
Privacy Policy • Terms of Service"
https://instagram.com,"Afrikaans
العربية
Čeština
Dansk
Deutsch
Ελληνικά
English
English (UK)
Español (España)
Español
فارسی
Suomi
Français
עברית
Bahasa Indonesia
Italiano
日本語
한국어
Bahasa Melayu
Norsk
Nederlands
Polski
Português (Brasil)
Português (Portugal)
Русский
Svenska
ภาษาไทย
Filipino
Türkçe
中文(简体)
中文(台灣)
বাংলা
ગુજરાતી
हिन्दी
Hrvatski
Magyar
ಕನ್ನಡ
മലയാളം
मराठी
नेपाली
ਪੰਜਾਬੀ
සිංහල
Slovenčina
தமிழ்
తెలుగు
اردو
Tiếng Việt
中文(香港)
Български
Français (Canada)
Română
Српски
Українська
Allow the use of cookies from Instagram on this browser?
We use cookies and similar technologies to help provide and improve content on Meta Products. We also use them to provide a safer experience by using information we receive from cookies on and off Instagram, and to provide and improve Meta Products for people who have an account.
Essential cookies: These cookies are required to use Meta Products and are necessary for our sites to work as intended.
Cookies from other companies: We use these cookies to show you ads off of Meta Products and to provide features like maps and videos on Meta Products. These cookies are optional.
You have control over the optional cookies we use. Learn more about cookies and how we use them, and review or change your choices at any time in our Cookies Policy.
About cookies
What are cookies?
Learn more
Why do we use cookies?
Learn more
What are Meta Products?
Learn more
Your cookie choices
Learn more
Optional cookies
Cookies from other companies
We use cookies from other companies in order to show you ads off of our Products, and provide features like maps, payment services and video.
Choose cookies by category
How we use these cookies
If you allow these cookies
If you don't allow these cookies
Other ways you can control your information
Manage your ad experience in Accounts Center
More information about online advertising
Controlling cookies with browser settings
Allow all cookies
Decline optional cookies"
https://office.com,"We use optional cookies to improve your experience on our websites, such as through social media connections, and to display personalized advertising based on your online activity. If you reject optional cookies, only cookies necessary to provide you the services will be used. You may change your selection by clicking “Manage Cookies” at the bottom of the page. Privacy Statement Third-Party Cookies
Accept Reject Manage cookies"
https://linkedin.com,"LinkedIn respects your privacy
LinkedIn and 3rd parties use essential and non-essential cookies to provide, secure, analyze and improve our Services, and to show you relevant ads (including professional and job ads) on and off LinkedIn. Learn more in our Cookie Policy.
Select Accept to consent or Reject to decline non-essential cookies for this use. You can update your choices at any time in your settings.
Accept
Reject"
https://doubleclick.net,"marketingplatform.google.com uses cookies from Google to deliver and enhance the quality of its services and to analyze traffic. Learn more
Hide"
https://bing.com,"Microsoft and our third-party vendors use cookies and similar technologies to deliver, maintain, and improve our services and ads. If you agree, we will use this data for ads personalization and associated analytics.
You can select ‘Accept’ to consent to these uses, ‘Reject’ to decline these uses or click on ‘More options’ to review your options. You can change your selection under ‘Manage Cookie Preferences’ at the bottom of this page.  Privacy Statement
Accept
Reject
More options"
https://fastly.net,"Select your cookie preferences
We use cookies to give you a better, more personalized website experience, and to give us important performance and analytics data to keep things running smoothly. Click ""Accept all"" to agree to the storing of all cookies or click ""Customize"" to make individual choices and get details on the cookies in use.Cookie Policy
Accept all
Reject all
Customize"
https://netflix.com,"Netflix and third parties use cookies and similar technologies on this website to collect information about your browsing activities, which we use to analyse your use of the website, personalise our services, and customise online advertisements. You can accept, reject, or personalise your choices by selecting ‘Learn more.’ Netflix supports the Digital Advertising Alliance Principles.
Learn more
Reject
Accept"
https://youtu.be,"DE
Sign in
Home
Shorts
You
History
Sign in to like videos, comment, and subscribe.
Sign in
Explore
Music
Movies & TV
Live
Show more
More from YouTube
YouTube Premium
YouTube Music
YouTube Kids
Settings
Report history
Help
Send feedback
AboutPressCopyrightContact usCreatorsAdvertiseDevelopersImpressumCancel Memberships
TermsPrivacyPolicy & SafetyHow YouTube worksTest new features
© 2025 Google LLC
Your YouTube history is off
You can turn on watch and search history at any time to get the latest videos tailored to you.

To update your selection, turn on YouTube History and confirm your settings to accept the use of cookies and data. Learn more
Update setting"
